Date,Open,High,Low,Close,Adj Close,Volume
2021-05-21,6.430000,6.450000,6.340000,6.420000,6.420000,55800
2021-05-24,6.350000,6.370000,6.300000,6.330000,6.330000,26100
2021-05-25,6.430000,6.530000,6.430000,6.450000,6.450000,63500
2021-05-26,6.490000,6.530000,6.470000,6.510000,6.510000,16700
2021-05-27,6.500000,6.510000,6.400000,6.450000,6.450000,60700
2021-05-28,6.530000,6.620000,6.430000,6.580000,6.580000,104900
2021-06-01,6.520000,6.640000,6.520000,6.590000,6.590000,158200
2021-06-02,6.310000,6.380000,6.260000,6.330000,6.330000,236000
2021-06-03,6.200000,6.200000,6.060000,6.150000,6.150000,60400
2021-06-04,6.140000,6.200000,6.110000,6.180000,6.180000,25200
2021-06-07,5.900000,6.150000,5.860000,6.120000,6.120000,43500
2021-06-08,6.160000,6.190000,6.120000,6.160000,6.160000,46600
2021-06-09,6.090000,6.180000,6.090000,6.120000,6.120000,42800
2021-06-10,5.950000,5.980000,5.860000,5.940000,5.940000,276900
2021-06-11,5.960000,6.000000,5.920000,5.960000,5.960000,289200
2021-06-14,6.170000,6.300000,6.170000,6.280000,6.280000,82000
2021-06-15,6.200000,6.330000,6.200000,6.310000,6.310000,81700
2021-06-16,6.490000,6.530000,6.400000,6.480000,6.480000,81900
2021-06-17,6.220000,6.370000,6.140000,6.360000,6.360000,48100
2021-06-18,6.220000,6.250000,6.130000,6.240000,6.240000,38600
2021-06-21,6.270000,6.350000,6.260000,6.340000,6.340000,98100
2021-06-22,6.340000,6.430000,6.320000,6.420000,6.420000,73000
2021-06-23,6.380000,6.380000,6.310000,6.310000,6.310000,44300
2021-06-24,6.440000,6.510000,6.440000,6.500000,6.500000,55100
2021-06-25,6.510000,6.530000,6.450000,6.490000,6.490000,46000
2021-06-28,6.540000,6.650000,6.540000,6.640000,6.640000,63000
2021-06-29,6.790000,6.860000,6.780000,6.820000,6.820000,45600
2021-06-30,6.650000,6.660000,6.580000,6.660000,6.660000,42900
2021-07-01,6.540000,6.590000,6.530000,6.570000,6.570000,39900
2021-07-02,6.520000,6.580000,6.460000,6.560000,6.560000,36700
2021-07-06,6.660000,6.710000,6.650000,6.690000,6.690000,20500
2021-07-07,6.610000,6.650000,6.480000,6.550000,6.550000,66200
2021-07-08,6.450000,6.530000,6.410000,6.460000,6.460000,59100
2021-07-09,6.280000,6.380000,6.250000,6.380000,6.380000,31300
2021-07-12,6.450000,6.510000,6.450000,6.510000,6.510000,57300
2021-07-13,6.230000,6.320000,6.230000,6.300000,6.300000,81600
2021-07-14,6.230000,6.230000,6.140000,6.190000,6.190000,32700
2021-07-15,5.250000,5.340000,5.250000,5.300000,5.300000,453700
2021-07-16,5.210000,5.210000,5.110000,5.130000,5.130000,100500
2021-07-19,5.050000,5.200000,5.010000,5.170000,5.170000,67900
2021-07-20,5.100000,5.210000,5.060000,5.210000,5.210000,106900
2021-07-21,5.320000,5.440000,5.280000,5.430000,5.430000,68900
2021-07-22,5.520000,5.580000,5.460000,5.540000,5.540000,29200
2021-07-23,5.380000,5.430000,5.300000,5.350000,5.350000,45800
2021-07-26,5.360000,5.420000,5.300000,5.380000,5.380000,64800
2021-07-27,5.240000,5.300000,5.180000,5.260000,5.260000,87300
2021-07-28,5.440000,5.560000,5.440000,5.520000,5.520000,148600
2021-07-29,5.640000,5.640000,5.550000,5.570000,5.570000,57100
2021-07-30,5.520000,5.600000,5.520000,5.550000,5.550000,15200
2021-08-02,5.730000,5.750000,5.690000,5.700000,5.700000,33300
2021-08-03,5.620000,5.630000,5.560000,5.600000,5.600000,200600
2021-08-04,5.680000,5.750000,5.680000,5.690000,5.690000,107700
2021-08-05,5.580000,5.660000,5.580000,5.660000,5.660000,140800
2021-08-06,5.750000,5.790000,5.720000,5.750000,5.750000,24700
2021-08-09,5.860000,5.860000,5.750000,5.750000,5.750000,28600
2021-08-10,5.810000,5.810000,5.710000,5.780000,5.780000,54500
2021-08-11,5.770000,5.770000,5.680000,5.720000,5.720000,139000
2021-08-12,5.630000,5.680000,5.610000,5.670000,5.670000,16900
2021-08-13,5.750000,5.780000,5.710000,5.750000,5.750000,46800
2021-08-16,5.680000,5.760000,5.630000,5.750000,5.750000,82700
2021-08-17,5.680000,5.690000,5.630000,5.670000,5.670000,49900
2021-08-18,5.820000,5.890000,5.810000,5.810000,5.810000,63900
2021-08-19,5.860000,5.910000,5.820000,5.910000,5.910000,28200
2021-08-20,5.890000,5.890000,5.810000,5.870000,5.870000,22400
2021-08-23,5.870000,5.930000,5.870000,5.920000,5.920000,33800
2021-08-24,5.990000,6.040000,5.980000,6.030000,6.030000,29600
2021-08-25,6.020000,6.030000,5.970000,6.000000,6.000000,14100
2021-08-26,6.000000,6.030000,5.920000,5.990000,5.990000,29400
2021-08-27,5.860000,5.990000,5.840000,5.990000,5.990000,19400
2021-08-30,5.970000,6.020000,5.950000,6.020000,6.020000,21900
2021-08-31,5.970000,5.970000,5.850000,5.880000,5.880000,37800
2021-09-01,6.070000,6.070000,5.980000,6.050000,6.050000,14400
2021-09-02,6.050000,6.100000,6.040000,6.100000,6.100000,14200
2021-09-03,5.990000,6.040000,5.960000,6.040000,6.040000,16200
2021-09-07,5.950000,6.030000,5.950000,5.980000,5.980000,12700
2021-09-08,5.580000,5.580000,5.450000,5.480000,5.480000,117700
2021-09-09,5.370000,5.490000,5.300000,5.430000,5.430000,28500
2021-09-10,5.300000,5.370000,5.300000,5.330000,5.330000,28600
2021-09-13,5.360000,5.450000,5.320000,5.450000,5.450000,39800
2021-09-14,5.560000,5.560000,5.450000,5.460000,5.460000,61800
2021-09-15,5.360000,5.360000,5.250000,5.280000,5.280000,25200
2021-09-16,5.250000,5.270000,5.190000,5.270000,5.270000,27100
2021-09-17,5.200000,5.200000,5.150000,5.170000,5.170000,18700
2021-09-20,5.160000,5.200000,5.120000,5.160000,5.160000,44400
2021-09-21,5.170000,5.250000,5.130000,5.190000,5.190000,58600
2021-09-22,5.200000,5.280000,5.200000,5.250000,5.250000,86200
2021-09-23,5.360000,5.380000,5.330000,5.330000,5.330000,28900
2021-09-24,5.290000,5.320000,5.270000,5.290000,5.290000,12600
2021-09-27,5.320000,5.370000,5.300000,5.330000,5.330000,22500
2021-09-28,5.180000,5.180000,5.100000,5.140000,5.140000,25700
2021-09-29,5.140000,5.180000,5.090000,5.110000,5.110000,17500
2021-09-30,5.090000,5.090000,5.030000,5.050000,5.050000,79900
2021-10-01,4.910000,4.920000,4.750000,4.860000,4.860000,89700
2021-10-04,4.700000,4.740000,4.660000,4.720000,4.720000,38000
2021-10-05,4.720000,4.750000,4.670000,4.730000,4.730000,47000
2021-10-06,4.570000,4.640000,4.520000,4.630000,4.630000,40100
2021-10-07,4.620000,4.680000,4.580000,4.610000,4.610000,43100
2021-10-08,4.510000,4.520000,4.500000,4.510000,4.510000,17500
2021-10-11,4.730000,4.730000,4.500000,4.530000,4.530000,42000
2021-10-12,4.740000,4.740000,4.650000,4.660000,4.660000,45300
2021-10-13,4.820000,4.890000,4.790000,4.860000,4.860000,30900
2021-10-14,4.860000,4.860000,4.730000,4.750000,4.750000,13100
2021-10-15,4.750000,4.830000,4.750000,4.770000,4.770000,72900
2021-10-18,4.640000,4.660000,4.600000,4.600000,4.600000,27800
2021-10-19,4.760000,4.800000,4.700000,4.740000,4.740000,50200
2021-10-20,4.990000,5.090000,4.990000,5.020000,5.020000,47100
2021-10-21,5.140000,5.140000,5.010000,5.100000,5.100000,28000
2021-10-22,5.110000,5.200000,5.050000,5.080000,5.080000,21000
2021-10-25,5.120000,5.120000,4.900000,5.010000,5.010000,53400
2021-10-26,5.240000,5.240000,5.100000,5.130000,5.130000,16500
2021-10-27,5.120000,5.150000,5.070000,5.110000,5.110000,19600
2021-10-28,5.350000,5.490000,5.350000,5.480000,5.480000,36200
2021-10-29,5.410000,5.410000,5.310000,5.400000,5.400000,21800
2021-11-01,5.410000,5.410000,5.270000,5.300000,5.300000,167600
2021-11-02,5.390000,5.390000,5.100000,5.120000,5.120000,43300
2021-11-03,4.570000,4.590000,4.460000,4.580000,4.580000,181700
2021-11-04,4.460000,4.540000,4.430000,4.480000,4.480000,85400
2021-11-05,4.300000,4.350000,4.230000,4.300000,4.300000,110300
2021-11-08,4.820000,4.820000,4.670000,4.680000,4.680000,81900
2021-11-09,4.760000,4.950000,4.700000,4.730000,4.730000,47100
2021-11-10,4.970000,5.070000,4.970000,5.000000,5.000000,44900
2021-11-11,5.010000,5.010000,4.840000,4.970000,4.970000,48300
2021-11-12,5.000000,5.070000,5.000000,5.040000,5.040000,23400
2021-11-15,5.100000,5.100000,4.950000,4.960000,4.960000,47200
2021-11-16,4.940000,4.970000,4.890000,4.950000,4.950000,27900
2021-11-17,4.850000,4.910000,4.850000,4.870000,4.870000,36800
2021-11-18,4.850000,4.850000,4.820000,4.850000,4.850000,65600
2021-11-19,4.900000,4.950000,4.630000,4.920000,4.920000,57800
2021-11-22,4.920000,4.920000,4.750000,4.750000,4.750000,24200
